Institution-ID,"Label [generiert, nicht manuell berarbeiten]",Name,GND,Typ,Bemerkungen
institution_001,Rat Zürich,Rat Zürich,,Kategorie 1,
institution_002,Fruchtbringende Gesellschaft,Fruchtbringende Gesellschaft,2011193-9,Kategorie 2,Literarische Gesellschaft im 17. Jahrhundert
institution_003,Deutschgesinnte Genossenschaft (Lilien-Zunft),Deutschgesinnte Genossenschaft (Lilien-Zunft),4679588-1,,
institution_004,Collegium Parthenicum,Collegium Parthenicum,,,
institution_005,Collegium Carolinum Zürich,Collegium Carolinum Zürich,4553290-4,,philosophisch-theologische Hochschule und Vorläuferin der Universität Zürich
institution_007,Sanhedrin,Sanhedrin,4249853-3 (?),,Hoher Rat der Juden
institution_008,Bürgerbibliothek Zürich,Bürgerbibliothek Zürich,4466502-7,,1631-1916 in der Wasserkirche untergebracht
institution_009,Grossmünster Zürich,Grossmünster Zürich,4458464-7,,Kirche
institution_010,Fraumünster Zürich,Fraumünster Zürich,4097964-7,,"""Abbatisaner Kirche"""
institution_011,Philipps-Universität Marburg,Philipps-Universität Marburg,2001630-X,,
institution_012,Kartäuser,Kartäuser,,,Katholischer Mönchsorden
institution_013,Collegium Alumnorum,Collegium Alumnorum,1157125050,,Zuchthof beim Fraumünster
institution_014,Schützengesellschaft der Stadt Zürich,Schützengesellschaft der Stadt Zürich,4546255-0,,
institution_015,Predigerkirche Zürich,Predigerkirche Zürich,4191776-5,,
institution_016,,,,,
institution_017,,,,,
institution_018,,,,,
institution_019,,,,,
institution_020,,,,,
institution_021,,,,,
institution_022,,,,,
institution_023,,,,,
institution_024,,,,,
institution_025,,,,,
institution_026,,,,,
institution_027,,,,,
institution_028,,,,,
institution_029,,,,,
institution_030,,,,,
institution_031,,,,,
institution_032,,,,,
institution_033,,,,,
institution_034,,,,,
