Person-ID,"Label [generiert, nicht manuell berarbeiten]",Familienname,Vorname,Geburtsdatum,Sterbedatum,GND,Kurzbeschreibung,Kategorie,Quellen,Bemerkungen
person_001,"Simler, Johann Wilhelm (1605-1672)",Simler,Johann Wilhelm,1605,1672,119151693,Schweizer Dichter und reformierter Theologe,Historische Person,https://hls-dhs-dss.ch/de/articles/012297/2011-06-08/,
person_002,"Opitz, Martin (1597-1639)",Opitz,Martin,1597,1639,118590111,"Deutscher Dichter, Begründer der Schlesischen Dichterschule",Historische Person,https://de.wikipedia.org/wiki/Martin_Opitz,
person_003,"Buol, Meinrad von (1588-1658)",Buol,Meinrad von,1588,1658,1017997098,Schweizer Adeliger aus dem Geschlecht Buol,Historische Person,https://hls-dhs-dss.ch/de/articles/016777,
person_004,"Bodmer, Johann Jakob (1617-1676)",Bodmer,Johann Jakob,1617,1676,1037529359,"Schweizer Buchdrucker, Dichter und Politiker",Historische Person,https://de.wikipedia.org/wiki/Johann_Jakob_Bodmer_(Drucker),
person_005,"Escher, Heinrich (1626-1710)",Escher,Heinrich,1626,1710,118853635,"Mitglied des Rats, Stadthauptmann, Bürgermeister von Zürich",Historische Person,https://hls-dhs-dss.ch/de/articles/018056/2004-11-04/,
person_006,"Hottinger, Johann Heinrich (1620-1667)",Hottinger,Johann Heinrich,1620,1667,104286547,"Professor für Kirchengeschichte, Orientalistik und Rhetorik am Carolinum in Zürich, einer der Begründer der orientalischen Philologie",Historische Person,https://hls-dhs-dss.ch/de/articles/010460/2006-04-05/,
person_007,"Landolt, Matthias (1591-1671)",Landolt,Matthias,1591,1671,1052300871,"Mitglied des Rats von der freien Wahl, Vogt zu Hogen und Ehegerichtsschreiber",Historische Person,,
person_008,"Meyer, Conrad (1618-1689)",Meyer,Conrad,1618,1689,118733273,,Historische Person,https://hls-dhs-dss.ch/de/articles/019140/2011-04-20/,
person_009,"Müller, Georg (1610-1672)",Müller,Georg,1610,1672,130002488,Pfarrer zu Thalwil,Historische Person,https://suche.staatsarchiv.djiktzh.ch/detail.aspx?ID=1960657,
person_010,"Rahn, Hans Heinrich (1593-1669)",Rahn,Hans Heinrich,1593,1669,143680765,"Zunftmeister, Amtmann von Töss, Obmann gemeiner Klöster, Statthalter, Bürgermeister von Zürich",Historische Person,https://hls-dhs-dss.ch/de/articles/018097/2010-07-26/,
person_011,"Schultheiss, Hans Heinrich (1594-1652)",Schultheiss,Hans Heinrich,1594,1652,1017179034,"Mitglied des Rats, Zunftmeister, Obervogt zu Rümlang",Historische Person,,
