Ort-ID,"Label [generiert, nicht manuell berarbeiten]",Name,Namensvariante,GeoNames,Kategorie,Bemerkungen
place_001,Zürich,Zürich,,2657896,Stadt,Stadt und eidg. Ort
place_002,Basel,Basel,,2661604,Stadt,Stadt und eidg. Ort
place_003,Eidgenossenschaft,Eidgenossenschaft,Schweiz,2658434,,"alt. Eidgenossenschaft, Schweiz"
place_004,Limmat,Limmat,,2659887,Gewässer,Fluss
place_005,Weinfelden,Weinfelden,,2658036,Stadt,
place_006,Main,Main,,2874265,Gewässer,Fluss durch Deutschland
place_007,Zürichsee,Zürichsee,,2657892,Gewässer,
place_008,Thalwil,Thalwil,,2658388,Politische Gemeinde,Politische Gemeinde im Kanton Zürich
place_009,Bern,Bern,,2661552,Stadt,Stadt und eidg. Ort
place_010,Gottstatt,Gottstatt,,,,
place_011,Thorberg,Thorberg,,2658379,,"Eine Burg in der Gemeinde Krauchthal BE, seit 1848 eine Strafanstalt"
place_012,London,London,,2643743,Stadt,
place_013,England,England,,6269131,Land,
place_014,Bethlehem,Bethlehem,,284315,Stadt,Stadt im Nahen Osten
place_015,Parnass ,Parnass ,Parnassus,255730,Berg,"Berg in Griechenland, der in der griechischen Mythologie Apollon geweiht ist und damit als Sinnbild und Inbegriff der Lyrik bzw. der Kunst gilt"
place_016,Traubenberg,Traubenberg,,,,"""Haus zum Traubenberg"" in Zollikon (Zürich)?"
place_017,Babylon,Babylon,Babel,98228,Stadt,Stadt in Mesopotamien
place_018,Canaan,Canaan,Kanaan,,Region,Historische Region im Nahen Osten
place_019,Ägypten,Ägypten,Egyptenlande,357994,Land,
place_020,Hermon,Hermon,,6252331,Berg,Bergmassiv im Antilibanon
place_021,Jerusalem,Jerusalem,Salem,281184,Stadt,
place_022,Jordan,Jordan,,294624,Gewässer,Fluss im Nahen Osten
place_023,Rotes Meer,Rotes Meer,,350155,Gewässer,
place_024,Juda,Juda,,,,Historisches Königreich
place_025,Moab,Moab,,,,Historisches Gebiet im heutigen Jordanien
place_026,Ammon,Ammon,,,,Historisches Königreich im heutigen Jordanien
place_027,Zion,Zion,Sion,281214,Berg,Berg in Jerusalem
place_028,Assur,Assur,,,,
place_029,Israel,Israel,,294640,,Historisches Königreich Israel
place_030,Nazaret,Nazaret,,294098,Stadt,Stadt in Galiläa
place_031,Rom,Rom,,3169070,Stadt,Hauptstadt des Römischen Reiches
place_032,Samaria,Samaria,Samarien,,Stadt,Stadt im Norden vom Westjordanland
place_033,Kedronbach,Kedronbach,,,Gewässer,"Bach im Kidrontal, Jerusalem"
place_034,Garten von Getsemani,Garten von Getsemani,,,Biblischer Ort,
place_035,Urdorf,Urdorf,,7287390,Politische Gemeinde,Politische Gemeinde im Bezirk Dietikon im Kanton Zürich
place_036,Geiren-Rein,Geiren-Rein,,,Gewässer,
place_037,Aeugst,Aeugst,Aeugst am Albis,7285035,Politische Gemeinde,Politische Gemeinde im Bezirk Affoltern im Kanton Zürich
place_038,Riedt,Riedt,,,,
place_039,Europa,Europa,,6255148,Kontinent,
place_040,Osir,Osir,Ophir,,Biblischer Ort,Goldland in der hebräischen Bibel
place_041,Basadingen,Basadingen,,2661605,,Ortschaft im Kanton Thurgau
place_042,Diessenhofen,Diessenhofen,,7285651,Politische Gemeinde,Politische Gemeinde im Kanton Thurgau
place_043,Rhein,Rhein,,2748179,Gewässer,Fluss
place_044,Arabisches Reich,Arabisches Reich,,,,Historisches Reich
place_045,Libanon,Libanon,,272103,Land,Staat in Vorderasien
place_046,Emmaus,Emmaus,,,Biblischer Ort,"Ort in der Nähe von Jerusalem, biblischer Schauplatz"
place_047,Helikon,Helikon,,262733,Berg,"Berg in Griechenland, Wohnsitz der Musen"
place_048,Pindos,Pindos,,363258,Berg,"Gebirge in Griechenland, mythologischer Ort der Musen"
place_049,Neckar,Neckar,,2866784,Gewässer,Fluss in Deutschland
place_050,Kurpfalz,Kurpfalz,,,Land,Historisches Territorium im Heiligen Römischen Reich
place_051,Eglisau,Eglisau,,7285707,Politische Gemeinde,Politische Gemeinde im Kanton Zürich
place_052,Altenklingen,Altenklingen,,,,
place_053,Altorff,Altorff,,,,
place_054,Glarus,Glarus,,2660593,,Stadt und eidg. Ort
place_055,Reformierte Kirche Berg am Irchel,Reformierte Kirche Berg am Irchel,Bergerkirche,,,
place_056,Sodom,Sodom,,,Biblischer Ort,"Stadt im alten Testament, die wegen Sündhaftigkeit ihrer Einwohner:innen von Feuer und Schwefel zerstört wurde"
place_057,Haus zur Sonnenblume,Haus zur Sonnenblume,,,,
place_058,Geissturm,Geissturm,,,Bauwerk,Pulverturm
place_059,Konstantinopel,Konstantinopel,Istanbul,745044,Stadt,
place_060,Stein am Rhein,Stein am Rhein,,2658489,Stadt,
place_061,Marburg,Marburg,,2873759,Stadt,Stadt in Deutschland
place_062,Elbląg,Elbląg,Elbing,3099759,Stadt,Stadt in Preußen (heute Polen)
place_063,Preussen,Preussen,,,Land,Historische Region und Staat in Europa
place_064,Heilbäder Baden,Heilbäder Baden,,,,
place_065,Bad Schinznach,Bad Schinznach,,,,Heilbad in der Schweiz
place_066,Girenbad,Girenbad,Gyren-Bad,,,Kurbad in Hinwil
place_067,Wängibad,Wängibad,,,,"Kurbad, https://search.ortsnamen.ch/de/record/7001562/"
place_068,Aeugst am Albis,Aeugst am Albis,,,Politische Gemeinde,
place_069,Bassersdorf,Bassersdorf,,7285165,Politische Gemeinde,Politische Gemeinde im Kanton Zürich
place_070,Hauptwil,Hauptwil,Hauptwil-Gottshaus,7286036,Politische Gemeinde,Politische Gemeinde im Kanton Thurgau
place_071,Schaffhausen,Schaffhausen,,,,
place_072,Wädenswil,Wädenswil,,7287513,Landvogtei,
place_073,Freiamt,Freiamt,,,Landvogtei,
place_074,Grüningen,Grüningen,,,Landvogtei,
place_075,Kefikon,Kefikon,,2660178,Politische Gemeinde,
place_076,Maienfeld,Maienfeld,,7286419,Landvogtei,
place_077,Schloss Greifensee,Schloss Greifensee,,4435366-2,Bauwerk,
place_078,Lindenhof (Zürich),Lindenhof (Zürich),,,,Hügel und Park in Zürich
place_079,Galg-Brunnen (Zürich),Galg-Brunnen (Zürich),,,,
place_080,Kornhaus (Zürich),Kornhaus (Zürich),,,Bauwerk,
place_081,Sparrenberg (Zürich),Sparrenberg (Zürich),,6295386,Bauwerk,
place_082,Thurgau,Thurgau,,2658372,,
place_083,Niederlande,Niederlande,,2750405,Land,
place_084,Holland,Holland,,,Land,Region in den Niederlanden
place_085,Wigoltingen,Wigoltingen,,,,
place_086,Kastalische Quelle,Kastalische Quelle,,,Gewässer,Quelle am Fuß des Parnass
place_087,Lägern,Lägern,,2660058,Berg,Höhenrücken in den Kantonen Aargau und Zürich
place_088,Texel,Texel,,2746385,,Insel in den Niederlanden
place_089,Vlieland,Vlieland,,2745420,,Insel in den Niederlanden
place_090,Indien,Indien,,1269750,Land,
place_091,Wien,Wien,,2761369,Stadt,
